
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
364 Mot inconnu : UUID => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | uuid
364 Pas d’espace avant ce signe. => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" |  ] => suggestions : [']']
364 Guillemets typographiques fermants. => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | ' => suggestions : ['”', '’', '›']

365 Mot inconnu : validUUID => validUUID="$(ls -1 /dev/disk/by-uuid)" | validuuid
365 Mot inconnu : ls => validUUID="$(ls -1 /dev/disk/by-uuid)" | ls
365 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => validUUID="$(ls -1 /dev/disk/by-uuid)" | -1 => suggestions : ['−1', '– 1', '— 1']

367 Mot inconnu : nbUUIDValid => nbUUIDValid=0 | nbuuidvalid

369 Mot inconnu : uuid => for uuid in $fstabUUID | uuid
369 Mot inconnu : fstabUUID => for uuid in $fstabUUID | fstabuuid

371 Mot inconnu : echo => 	if echo "$validUUID" | grep -q "$uuid" | echo
371 Mot inconnu : validUUID => 	if echo "$validUUID" | grep -q "$uuid" | validuuid
371 Guillemets typographiques fermants. => 	if echo "$validUUID" | grep -q "$uuid" | " => suggestions : ['\xa0»', '”']
371 Mot inconnu : grep => 	if echo "$validUUID" | grep -q "$uuid" | grep
371 Il manque un espace à côté du tiret. => 	if echo "$validUUID" | grep -q "$uuid" |  - => suggestions : [' – ', ' — ']
371 Mot inconnu : uuid => 	if echo "$validUUID" | grep -q "$uuid" | uuid
371 Guillemets typographiques fermants. => 	if echo "$validUUID" | grep -q "$uuid" | " => suggestions : ['\xa0»', '”']

372 Mot inconnu : then => 	then | then

373 Mot inconnu : echo => 		echo "$uuid OK" | echo
373 Mot inconnu : uuid => 		echo "$uuid OK" | uuid
373 Guillemets typographiques fermants. => 		echo "$uuid OK" | " => suggestions : ['\xa0»', '”']

374 Mot inconnu : nbUUIDValid => 		nbUUIDValid=$((nbUUIDValid+1)) | nbuuidvalid
374 Mot inconnu : nbUUIDValid => 		nbUUIDValid=$((nbUUIDValid+1)) | nbuuidvalid

375 Mot inconnu : else => 	else | else

376 Mot inconnu : echo => 		echo "$uuid est dans fstab mais pas dans /dev/disk/by-uuid" | echo
376 Mot inconnu : uuid => 		echo "$uuid est dans fstab mais pas dans /dev/disk/by-uuid" | uuid
376 Mot inconnu : fstab => 		echo "$uuid est dans fstab mais pas dans /dev/disk/by-uuid" | fstab
376 Guillemets typographiques fermants. => 		echo "$uuid est dans fstab mais pas dans /dev/disk/by-uuid" | " => suggestions : ['\xa0»', '”']

378 Mot inconnu : done => done | done

380 Mot inconnu : echo => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | echo
380 Guillemets typographiques ouvrants. => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | " => suggestions : ['«\xa0', '“']
380 Mot inconnu : UUID => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | uuid
380 Mot inconnu : fstab => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | fstab
380 Mot inconnu : echo => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | echo
380 Mot inconnu : fstabUUID => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | fstabuuid
380 Guillemets typographiques fermants. => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | " => suggestions : ['\xa0»', '”']
380 Mot inconnu : wc => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" | wc
380 Il manque un espace à côté du tiret. => echo "nombre d'UUID dans fstab : $(echo "$fstabUUID" | wc -l)" |  - => suggestions : [' – ', ' — ']

381 Mot inconnu : echo => echo "nombre d'UUID validé(s) : $nbUUIDValid" | echo
381 Guillemets typographiques ouvrants. => echo "nombre d'UUID validé(s) : $nbUUIDValid" | " => suggestions : ['«\xa0', '“']
381 Mot inconnu : UUID => echo "nombre d'UUID validé(s) : $nbUUIDValid" | uuid
381 Écriture invariable. Utilisez un point médian. => echo "nombre d'UUID validé(s) : $nbUUIDValid" | validé(s) => suggestions : ['validé·s']
381 Mot inconnu : nbUUIDValid => echo "nombre d'UUID validé(s) : $nbUUIDValid" | nbuuidvalid
381 Guillemets typographiques fermants. => echo "nombre d'UUID validé(s) : $nbUUIDValid" | " => suggestions : ['\xa0»', '”']

384 Guillemets typographiques ouvrants. => Il arrive que le répertoire de montage n'existe pas. Dans ce cas, la commande ''mount'' renvoie une erreur explicite. Il suffit de le recréer.\\ | '' => suggestions : ['«\xa0', '“']
384 Mot inconnu : mount => Il arrive que le répertoire de montage n'existe pas. Dans ce cas, la commande ''mount'' renvoie une erreur explicite. Il suffit de le recréer.\\ | mount
384 Guillemets typographiques fermants. => Il arrive que le répertoire de montage n'existe pas. Dans ce cas, la commande ''mount'' renvoie une erreur explicite. Il suffit de le recréer.\\ | '' => suggestions : ['\xa0»', '”']
385 Guillemets typographiques fermants. => Toujours dans notre exemple : (l'option ''-p'' permet de créer récursivement les dossiers parents s'il n'existent pas) | '' => suggestions : ['\xa0»', '”']
385 Accord avec “existent”. => Toujours dans notre exemple : (l'option ''-p'' permet de créer récursivement les dossiers parents s'il n'existent pas) | il => suggestions : ['ils']
385 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Toujours dans notre exemple : (l'option ''-p'' permet de créer récursivement les dossiers parents s'il n'existent pas) | existent => suggestions : ['existe']

391 Guillemets typographiques ouvrants. => Le cas le plus simple est que le répertoire de travail actuel est dans le volume que vous voulez démonter. Sinon, la commande ''lsof'' permet de lister tous les fichiers ouverts. En arrêtant les processus qui utilisent le volume, le démontage devient possible. \\ | '' => suggestions : ['«\xa0', '“']
391 Mot inconnu : lsof => Le cas le plus simple est que le répertoire de travail actuel est dans le volume que vous voulez démonter. Sinon, la commande ''lsof'' permet de lister tous les fichiers ouverts. En arrêtant les processus qui utilisent le volume, le démontage devient possible. \\ | lsof
391 Guillemets typographiques fermants. => Le cas le plus simple est que le répertoire de travail actuel est dans le volume que vous voulez démonter. Sinon, la commande ''lsof'' permet de lister tous les fichiers ouverts. En arrêtant les processus qui utilisent le volume, le démontage devient possible. \\ | '' => suggestions : ['\xa0»', '”']

394 Mot inconnu : grep => (grep permet de n'afficher que les lignes contenant "''/media/stock''") | grep
394 Guillemets typographiques fermants. => (grep permet de n'afficher que les lignes contenant "''/media/stock''") | '' => suggestions : ['\xa0»', '”']

397 Guillemets typographiques fermants. => Imaginons que vous ayez modifié le dossier de montage de ''/media/moi/stock'' en ''/home/moi/stockage''. \\ | '' => suggestions : ['\xa0»', '”']

399 Guillemets typographiques fermants. => Il est possible que des logiciels utilisent des fichiers dans ''/media/moi/stock'' ; Pour éviter des problèmes de fonctionnement, vous pouvez (si vous pensez que c'est nécessaire) créer un lien symbolique de l'ancien point de montage vers le nouveau : | '' => suggestions : ['\xa0»', '”']
